codigo,cirugia,rvu,especialidad,grupo
21501,I&D DEEP ABSCESS/HEMATOMA SOFT TISS NECK/THORAX,2.1,Sin clasificación,Sin clasificación
21502,I&D DEEP ABSCESS SOFT TISS NECK; W/PART RIB OSTE,4,Sin clasificación,Sin clasificación
21510,INCS DEEP W/OPENING BONE CORTEX THORAX,2,Sin clasificación,Sin clasificación
21550,BX SOFT TISS NECK/THORAX,0.7,Sin clasificación,Sin clasificación
21555,EXC TUMOR SOFT TISS NECK/THORAX; SUBQ,1.5,Sin clasificación,Sin clasificación
21556,EXC TUMOR SOFT TISS NECK; DEEP/SUBFACIAL/IM,3.4,Sin clasificación,Sin clasificación
21557,RADICAL RESECT TUMOR SOFT TISS NECK/THORAX,19.6,Sin clasificación,Sin clasificación
21600,EXC RIB PART,3.9,Sin clasificación,Sin clasificación
21610,COSTOTRANSVERSECTOMY (SEPART PROC),6.9,Sin clasificación,Sin clasificación
21615,EXC 1ST &/OR CERV RIB-OUTLET COMPRESSION SYNDROM,9.8,Sin clasificación,Sin clasificación
21616,EXC 1ST CERV RIB-COMPRESSION; W/SYMPATHECTOMY,8.8,Sin clasificación,Sin clasificación
21620,OSTECTOMY STERNUM PART,8.3,Sin clasificación,Sin clasificación
21627,STERNAL DEBRID,12.3,Sin clasificación,Sin clasificación
21630,RADICAL RESECT STERNUM; TUMOR,12.3,Sin clasificación,Sin clasificación
21632,RAD RESECT STERNUM; W/MEDIASTINAL LYMPHADENECTMY,19.6,Sin clasificación,Sin clasificación
21633,RADICAL RESECT STERNUM; OSTEOMYELITIS,12.3,Sin clasificación,Sin clasificación
21700,DIVISION SCALENUS ANTICUS; WO RESECT CERV RIB,6.6,Sin clasificación,Sin clasificación
21705,DIVISION SCALENUS ANTICUS; W/RESECT CERV RIB,8,Sin clasificación,Sin clasificación
21720,DIVIS STERNOCLEIDOMASTOID-TORTICOLLIS; WO CAST,5.3,Sin clasificación,Sin clasificación
21725,DIVIS STERNOCLEIDOMASTOID-TORTICOLLIS; W/CAST,6,Sin clasificación,Sin clasificación
21740,RECON REPR PECTUS EXCAVATUM/CARINATUM,14,Sin clasificación,Sin clasificación
21750,CLO STERNOTOMY SEPART W/WO DEBRID (SEPART PROC),BR,Sin clasificación,Sin clasificación
21800,CLO TX RIB FX UNCOMP EA,0.5,Sin clasificación,Sin clasificación
21805,OP TX RIB FX WO FIXA EA,4.9,Sin clasificación,Sin clasificación
21810,TX RIB FX REQUIRING EXT FIXA,12.3,Sin clasificación,Sin clasificación
21820,CLO TX STERNUM FX,1.2,Sin clasificación,Sin clasificación
21825,OP TX STERNUM FX W/WO SKELETAL FIXA,4.9,Sin clasificación,Sin clasificación
21899,UNLISTED PROC NECK/THORAX,BR,Sin clasificación,Sin clasificación
21920,BX SOFT TISS BACK/FLANK; SUPERF,0.7,Sin clasificación,Sin clasificación
21925,BX SOFT TISS BACK/FLANK; DEEP,2.9,Sin clasificación,Sin clasificación
21930,EXC TUMOR SOFT TISS BACK/FLANK,4.4,Sin clasificación,Sin clasificación
21935,RADICAL RESECT TUMOR SOFT TISS BACK/FLANK,8.3,Sin clasificación,Sin clasificación
90000,PREOP EVAL-MAJ SURG PROC; THORACIC,BR,Sin clasificación,Sin clasificación
