codigo,cirugia,rvu,especialidad,grupo
29800,ARTHROSCOPY-TMJ-DX W/WO SYNOVIAL BX (SEP PRO),5.4,Sin clasificación,Sin clasificación
29804,ARTHROSCOPY TEMPOROMANDIBULAR JT SURG,9.2,Sin clasificación,Sin clasificación
29815,ARTHROSCOPY SHOULDER DX W/WO BX (SEPART PROC),3.9,Sin clasificación,Sin clasificación
29819,ARTHROSCOPY SHOULDER SURG; W/REMOV LOOSE/F B,6.5,Sin clasificación,Sin clasificación
29820,ARTHROSCOPY SHOULDER SURG; SYNOVECTOMY PART,6.9,Sin clasificación,Sin clasificación
29821,ARTHROSCOPY SHOULDER SURG; SYNOVECTOMY COMPLT,8.3,Sin clasificación,Sin clasificación
29822,ARTHROSCOPY SHOULDER SURG; DEBRID LTD,7.5,Sin clasificación,Sin clasificación
29823,ARTHROSCOPY SHOULDER SURG; DEBRID EXTEN,10.2,Sin clasificación,Sin clasificación
29825,ARTHROSCOPY SHOULDER SURG; W/LYSIS ADHESIONS,7.8,Sin clasificación,Sin clasificación
29826,ARTHROSCOPY SHOULDER SURG; DECOMP SUBACROM SPACE,10.2,Sin clasificación,Sin clasificación
29830,ARTHROSCOPY ELBOW DX W/WO SYNOVIAL BX (SEP PRO),3.9,Sin clasificación,Sin clasificación
29834,ARTHROSCOPY ELBOW SURG; W/REMOV LOOSE/F B,7.2,Sin clasificación,Sin clasificación
29835,ARTHROSCOPY ELBOW SURG; SYNOVECTOMY PART,7.8,Sin clasificación,Sin clasificación
29836,ARTHROSCOPY ELBOW SURG; SYNOVECTOMY COMPLT,9.3,Sin clasificación,Sin clasificación
29837,ARTHROSCOPY ELBOW SURG; DEBRID LTD,8.3,Sin clasificación,Sin clasificación
29838,ARTHROSCOPY ELBOW SURG; DEBRID EXTEN,10.3,Sin clasificación,Sin clasificación
29840,ARTHROSCOPY WRIST DX W/WO SYNOVIAL BX (SEP PRO),4.3,Sin clasificación,Sin clasificación
29843,ARTHROSCOPY WRIST SURG; INFEC/LAVAGE & DRAINAGE,4.9,Sin clasificación,Sin clasificación
29844,ARTHROSCOPY WRIST SURG; SYNOVECTOMY PART,5.9,Sin clasificación,Sin clasificación
29845,ARTHROSCOPY WRIST SURG; SYNOVECTOMY COMPLT,6.9,Sin clasificación,Sin clasificación
29846,ARTHROSCOPY WRIST SURG; EXC TRIANGUL FIBROCARTIL,6.4,Sin clasificación,Sin clasificación
29847,ARTHROSCOPY WRIST SURG; INT FIX-FX/INSTABILITY,8.8,Sin clasificación,Sin clasificación
29848,ARTHROSCOPY WRIST SURG; W/RELEAS TRANSVER LIGAMT,4.5,Sin clasificación,Sin clasificación
29850,ARTHROSCOPICALLY AIDED TX FX KNEE; WO FIX,7,Sin clasificación,Sin clasificación
29851,ARTHROSCOPICALLY AIDED TX FX KNEE; W/FIX,7.6,Sin clasificación,Sin clasificación
29855,ARTHROSCOPICALLY AIDED TX TIB FX; UNICONDYL,7.4,Sin clasificación,Sin clasificación
29856,ARTHROSCOPICALLY AIDED TX TIB FX; BICONDYLAR,8.3,Sin clasificación,Sin clasificación
29870,ARTHROSCOPY KNEE DX W/WO SYNOVIAL BX (SEP PRO),4,Sin clasificación,Sin clasificación
29871,ARTHROSCOPY KNEE SURG; INFEC/LAVAGE & DRAINAGE,5.9,Sin clasificación,Sin clasificación
29874,ARTHROSCOPY KNEE SURG; REMOV LOOSE/F B,7.5,Sin clasificación,Sin clasificación
29875,ARTHROSCOPY KNEE SURG; SYNOVECTOMY LTD (SEP PRO),7.4,Sin clasificación,Sin clasificación
29876,ARTHROSCOPY KNEE SURG; SYNOVECTOMY MAJOR,8.8,Sin clasificación,Sin clasificación
29877,ARTHROSCOPY KNEE SURG; DEBRID/SHAV ARTIC CARTIL,7.8,Sin clasificación,Sin clasificación
29879,ARTHROSCOPY KNEE SURG; ABRASION ARTHROPLASTY,9,Sin clasificación,Sin clasificación
29880,ARTHROSCPY KNEE SURG; W/MENISECTMY (MED & LAT),10.8,Sin clasificación,Sin clasificación
29881,ARTHROSCPY KNEE SURG; W/MENISECTMY (MEDIAL/LAT),8.9,Sin clasificación,Sin clasificación
29882,ARTHROSCOPY KNEE SURG; W/MENISCUS REPR (MED/LAT),9.7,Sin clasificación,Sin clasificación
29883,ARTHROSCPY KNEE SURG; W/MENISCUS REPR (MED & LAT,12.5,Sin clasificación,Sin clasificación
29884,ARTHROSCOPY KNEE SURG; W/LYSIS ADHES (SEP PRO),7.4,Sin clasificación,Sin clasificación
29885,ARTHROSCOPY KNEE SURG; DRILLING W/GFT W/WO FIX,10.8,Sin clasificación,Sin clasificación
29886,ARTHROSCOPY KNEE SURG; DRILL-OSTEOCHOND LES,8.6,Sin clasificación,Sin clasificación
29887,ARTHROSCOPY KNEE; DRILL-OSTEOCHOND LES W/FIXA,10.3,Sin clasificación,Sin clasificación
29888,ARTHROSCOPICALLY AIDED ACL REPAIR/AUGMENT/RECON,15.8,Sin clasificación,Sin clasificación
29889,ARTHROSCOPICALLY AIDED PCL REPAIR/AUGMENT/RECON,15.8,Sin clasificación,Sin clasificación
29894,ARTHROSCOPY ANK SURG; W/REMOV LOOSE/F B,7.6,Sin clasificación,Sin clasificación
29895,ARTHROSCOPY ANK SURG; SYNOVECTOMY PART,7.6,Sin clasificación,Sin clasificación
29897,ARTHROSCOPY ANK SURG; DEBRID LTD,7.1,Sin clasificación,Sin clasificación
29898,ARTHROSCOPY ANK SURG; DEBRID EXTEN,9.9,Sin clasificación,Sin clasificación
29909,UNLISTED PROC ARTHROSCOPY,BR,Sin clasificación,Sin clasificación
